Estado,Prob_-1,Prob_1
1,0.2723245497430323,0.7276754502569678
2,0.7603070598705189,0.23969294012948106
3,0.7718918432840834,0.22810815671591655
4,0.1878495322300671,0.8121504677699329
5,0.802430639960465,0.19756936003953496
6,0.3664847964015781,0.633515203598422
7,0.0965246622722977,0.9034753377277023
8,0.8400266424797778,0.15997335752022224
9,0.14105010504616905,0.858949894953831
10,0.4551311710065367,0.5448688289934633
11,0.29846219159626125,0.7015378084037387
12,0.2816196281583216,0.7183803718416784
13,0.6159537308769106,0.38404626912308937
14,0.35784199686107954,0.6421580031389205
15,0.8954929381237392,0.1045070618762608
16,0.4884772977033917,0.5115227022966082
17,0.6628823511051045,0.3371176488948955
18,0.14296707850320947,0.8570329214967906
19,0.3527388024155681,0.6472611975844319
20,0.13158811135833476,0.8684118886416652
21,0.8235793264124359,0.17642067358756408
22,0.02511784808531753,0.9748821519146824
24,0.7290905898898673,0.2709094101101327
25,0.40809948326981577,0.5919005167301843
26,0.8400266424797778,0.15997335752022224
27,0.7989043284653525,0.20109567153464747
28,0.28169626173266876,0.7183037382673312
29,0.5145940985860799,0.48540590141392015
30,0.3835059723976676,0.6164940276023324
31,0.39352549196072795,0.606474508039272
32,0.9885617993766054,0.011438200623394623
33,0.35586414192896104,0.644135858071039
34,0.5191570046995787,0.4808429953004213
35,0.39882768301350263,0.6011723169864973
36,0.2857721833318543,0.7142278166681457
38,0.8637207917372348,0.13627920826276518
39,0.6771598958223826,0.32284010417761744
40,0.019302369395339067,0.980697630604661
41,0.6614599185785669,0.3385400814214331
42,0.5718252885651709,0.4281747114348291
43,0.6893105097169709,0.31068949028302906
44,0.02511784808531753,0.9748821519146824
46,0.802430639960465,0.19756936003953496
47,0.6873366839244817,0.31266331607551834
48,0.14105010504616905,0.858949894953831
49,0.6759585640724183,0.3240414359275817
50,0.4243488406269349,0.5756511593730651
51,0.9699094722282704,0.030090527771729603
52,0.29846219159626125,0.7015378084037387
53,0.7480500266335575,0.25194997336644254
54,0.03923549328233903,0.960764506717661
55,0.0965246622722977,0.9034753377277023
56,0.3588517419878192,0.6411482580121808
57,0.9154696014712096,0.08453039852879041
58,0.5786084172448395,0.42139158275516053
59,0.6628823511051045,0.3371176488948955
60,0.4023490549231104,0.5976509450768897
61,0.7069018858072664,0.29309811419273357
62,0.5892675998684227,0.4107324001315773
63,0.45407592271488595,0.545924077285114
64,0.2857721833318543,0.7142278166681457
65,0.522674845601693,0.477325154398307
66,0.3049962686411294,0.6950037313588706
68,0.18788117229016432,0.8121188277098357
69,0.35586414192896104,0.644135858071039
70,0.6066971812780673,0.39330281872193273
71,0.712652581561183,0.28734741843881695
72,0.7551284279761321,0.2448715720238679
73,0.2723245497430323,0.7276754502569678
74,0.8956405924668125,0.10435940753318751
75,0.9276087240036303,0.07239127599636974
76,0.4816212780760358,0.5183787219239642
77,0.6893105097169709,0.31068949028302906
78,0.6273930530580565,0.3726069469419435
79,0.40635158613633976,0.5936484138636602
81,0.3846323797945378,0.6153676202054622
82,0.8235793264124359,0.17642067358756408
83,0.3527388024155681,0.6472611975844319
84,0.42729326738861917,0.5727067326113808
85,0.4011080193362446,0.5988919806637554
86,0.7291678487312435,0.2708321512687565
87,0.3049962686411294,0.6950037313588706
88,0.8146880018357973,0.18531199816420274
90,0.6984323413105062,0.30156765868949376
91,0.4243488406269349,0.5756511593730651
92,0.9699094722282704,0.030090527771729603
93,0.03923549328233903,0.960764506717661
94,0.4981289424923204,0.5018710575076796
95,0.7290905898898673,0.2709094101101327
96,0.5892675998684227,0.4107324001315773
97,0.45316237857036895,0.5468376214296311
98,0.28169626173266876,0.7183037382673312
99,0.9185733203491204,0.08142667965087957
